DB02570	[H][C@](S)(CC1=CC=C(I)C=C1)C(O)=O
DB03736	[H][C@](C)(CC1CC1)C=O
DB03737	[H][C@](C)(O)[C@]([H])(N)[C@]([H])(O)C#CC1=C(F)C=CC2=C1\C(=C\C1=C(OC)C=CN1)C(=O)N2
DB03738	[H]N(CCC(=O)N([H])\C=C/S)C(=O)[C@H](O)C(C)(C)CO
DB03739	[H][C@@]1(O)C[C@@](O)(C\C(=N/O)[C@@]1([H])O)C(O)=O
DB03740	CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
DB03741	CC[C@@H](C)C(O)=O
DB03742	[H][C@]1(OC2=C(S[C@]1([H])C1=CC=C(O)C=C1)C=C(O)C=C2)C1=CC=C(OCCN2CCCCC2)C=C1
DB03745	[H][C@@](O)(CO)[C@]([H])(O)[C@]([H])(O)COP(O)(O)=O
DB03746	N[C@H]1C=C(C[C@@H](O)[C@@H]1O)C([O-])=O
DB03747	[H][C@]12O[C@H](CO)[C@@H](O)[C@H](O)[C@@]1([H])N=C(C)S2
DB03748	CN([C@H]1CC[C@@H](CC1)C1=CC=C(CN2CCCCC2)C=C1)C(=O)OC1=CC=C(Cl)C=C1
DB03749	CCC1=C(O)C=C(O)C(=C1)C1=NNC=C1C1=CNC=N1
DB03750	CC(C)CC(O)=O
DB03751	CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)O2)C(=O)NC1=O
DB03752	[H][C@@](C)(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=C(I)S1
DB03753	COC(=O)[C@@H](C)C1=CC=C(C(F)=C1)C1=CC=CC=C1
DB03754	NC(CO)(CO)CO
DB03755	[H][C@]1(COP(O)(=O)OP(O)(=O)CP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB03757	[H]N([H])C(=O)[C@H](C)N([H])C(=O)[C@H](C)N([H])C(=O)OC(C)(C)C
DB03758	C[C@@H]1C[C@H]2O[C@@H]2\C=C/C=C/C(=O)CC2=C(Cl)C(O)=CC(O)=C2C(=O)O1
DB03759	[O-][N+](=O)C1=C(C=C2NC(=O)C(=O)NC2=C1)[N+]([O-])=O
DB03760	[H][C@](S)(CCS)CCCCC(O)=O
DB03761	O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=C(F)C(=O)NC1=O
DB03763	CN1C=C([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O
DB03765	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OP(O)(O)=O
DB03767	[H][C@@](COCC1=CC=CC=C1)(NC(=O)[C@]([H])(CC(C)C)NC(=O)N1CCOCC1)C#N
DB03768	CC(C)CCN(C[C@@H](O)[C@@H]1CC2=CC=C(OCCCC(=O)N[C@@H](C(C)C)C(=O)N1)C=C2)S(=O)(=O)C1=CC=CC=C1
DB03769	[H][C@@](O)(CN1C=NC2=C(N)N=CN=C12)[C@@]([H])(O)C(O)=O
DB03771	CN(CC=C)C\C=C\COC1=CC2=C(C=C1)C(=CO2)C1=CC=C(Br)C=C1
DB03772	[H][C@@]1(O)C[C@@]([H])(O)[C@]([H])(OCCCCCC)O[C@]1([H])CO
DB03773	[H][C@]1(C)O[C@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
DB03775	C[C@@H]1NC(=O)N[C@@H]1CCCCCC(O)=O
DB03777	CN(C)CCCN1C=C(C2=C1C=CC=C2)C1=C(C(=O)NC1=O)C1=CNC2=C1C=CC=C2
DB03779	N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O
DB03780	NC1=NC2=CC=CC=C2C(=O)N1
DB03781	[H][C@](C)(OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1)C(O)=O
DB03782	NC(N)=NC1=CC=C(CNC(=O)NC23CC4CC(CC(C4)C2)C3)C=C1
DB03784	CCCCCCCC\C=C\CCCCCCCC(N)=O
DB03785	[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
DB03787	CC1=NC=C(COP(O)(O)=O)C(C\N=C2/CONC2=O)=C1O
DB03788	CC1=CC(OCC(O)=O)=CC(C)=C1CC1=CC=C(O)C(CC2=CC=CC=C2)=C1
DB03790	CS(=O)(=O)CC[C@H](N)C(O)=O
DB03791	OC(=O)CC1=CC=CC(OCCCN(CC(C2=CC=CC=C2)C2=CC=CC=C2)CC2=CC=CC(=C2Cl)C(F)(F)F)=C1
DB03792	NC1=CNC(=O)NC1=O
DB03793	OC(=O)C1=CC=CC=C1
DB03795	CC(C)(CO)C(=O)C(O)=O
DB03798	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
DB03799	N[C@@H](CCSC(F)(F)F)C(O)=O
DB03800	O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
DB03801	N[C@@H](CCCCNC(O)=O)C(O)=O
DB03802	[H][C@@]12CCCCN1CCN(C2)C1=CC=C(C=C1)[C@@]1([H])N(CCC2=CC(O)=CC=C12)C1=CC=CC=C1
DB03803	CC(C)[C@H](NC(=O)[C@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)NCC1=NC=CC=C1)C(=O)NCC1=CC=CC=N1
DB03804	[H][C@]1(O)C[C@@]([H])(O[C@]1([H])CO)N1C=C(C2=CC=C(Br)S2)C(=O)NC1=O
DB03807	CCOC(=O)C1=C(C)N(N=C1C)C1=C(Cl)C=CC=C1
DB03808	NC(=N)C1=CC=C(OCCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
DB03809	CCCCN1C(CC2=CC=CC(OC)=C2)=NC2=C(N)N=CN=C12
DB03811	[H][C@@]([NH3+])(CO)CC1=CN=CN1
DB03812	OC[C@@H](O)[C@H](O)[C@@H](O)CN1C(=O)N(CCCOP(O)(O)=O)C2=C1NC(=O)NC2=O
DB03813	CCCCCCC\C=C/C(=O)SCCNC(C)=O
DB03814	OS(=O)(=O)CCN1CCOCC1
DB03815	[H][C@@](C)(O)[C@@]([H])(O)[C@@]([H])(O)[C@]([H])(O)CO
DB03816	N[C@@H](CCSC(F)F)C(O)=O
DB03817	NCC[C@H](N)C(O)=O
DB03818	[H][C@@]1(CCCN1S(=O)(=O)C1=CC=C(C)C=C1)C(=O)NCCS
DB03820	[H]N([C@@H](CCCCC(=O)N([H])[C@@H]1C(=O)N2[C@@H](C([O-])=O)C(C)(C)S[C@]12[H])C([O-])=O)C(=O)C[N+]([H])([H])[H]
DB03821	[H][C@@](N)(C(O)=O)[C@@]([H])(O)OP(O)(O)=O
DB03824	IC1=CC2=C(CCNC2)C=C1
DB03825	[Cl-].CCNC1=CC2=[O+]C3=C(C=C(C)C(NCC)=C3)C(C3=CC=CC=C3C(=O)OCC)=C2C=C1C
DB03827	[H][C@](CCP([O-])(=O)OCC[N+](C)(C)C)(COC(=O)CCCCC)OC(=O)CCCCC
DB03828	CC1=CC(C=O)=C(OP(O)(O)=O)C(C=O)=C1
DB03830	NC1=NC2=NC=C(CNC3=CC=C(C=C3)C(=O)OP(O)(O)=O)N=C2C(=O)N1
DB03832	[H][C@@](CC(O)=O)(C[N+](C)(C)C)OC(=O)CCCCCCC
DB03833	[H][C@]1(CCCN1)C(=O)C1=NN=C(O1)C(C)(C)C
DB03834	CC(CN1C=CN=N1)([C@@H](N\C=C/C=O)C(O)=O)S([O-])=O
DB03835	CC(=O)NN1C(=O)N[C@@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O
DB03836	ClC1=CC(Cl)=CC(Cl)=C1
DB03837	C(C)(C)C[C@H](C(=O)N[C@H](CCC1=CC=CC=C1)\C=C\S(=O)(=O)C1=CC=CC=C1)NC(=O)N1CCOCC1
DB03840	O.O.[Cu+4].[N-]1C=CN=C1.[N-]1C=CN=C1.[N-]1C=CN=C1.[N-]1C=CN=C1
DB03841	CC(C)(C)COC1=C(C=C(C=C1)N1C=C(C=N1)C(O)=O)C#N
DB03842	CC1=CC=CC(=C)[C@H]1N
